gene	baseMean.x	log2FoldChange.x	lfcSE.x	stat.x	pvalue.x	padj.x	PSC.0149	PSC.0174	PSC.0177	PSC.0186	PSC.0187	PSC.0188	PSC.0190	PSC.0202	PSC.0203	PSC.0209	PSC.0219	PSC.0228	PSC.0230	PSC.0231	V2.x	uniprotID	geneID	V5.x	V6.x	V7.x	V8.x	V9.x	V10.x	V11.x	V12.x	V13	V14	baseMean.y	log2FoldChange.y	lfcSE.y	stat.y	pvalue.y	padj.y	GOID	Biological_Process	P	V2.y	V3	V4	V5.y	V6.y	V7.y	V8.y	V9.y	V10.y	V11.y	V12.y
g16133.t1	27.23633129	1.595574896	0.442482518	3.605961437	0.000310999	0.043542565	3	4	32	9	40	55	8	25	37	23	66	29	90	12	sp	Q9QX29	TRPC5_MOUSE	32.432	370	185	11	1069	2103	468	797	5.67e-50	192	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRPC5_MOUSE	reviewed	Short transient receptor potential channel 5 (TrpC5) (Capacitative calcium entry channel 2) (CCE2) (Transient receptor protein 5) (TRP-5) (mTRP5) (Trp-related protein 5)	Trpc5 Trp5 Trrp5	Mus musculus (Mouse)	975	manganese ion transport [GO:0006828]; negative regulation of dendrite morphogenesis [GO:0050774]; neuron differentiation [GO:0030182]; positive regulation of axon extension [GO:0045773]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of membrane hyperpolarization [GO:1902630]	calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]	actin binding [GO:0003779]; actinin binding [GO:0042805]; ATPase binding [GO:0051117]; calcium channel activity [GO:0005262]; clathrin binding [GO:0030276]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]	calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; actin binding [GO:0003779]; actinin binding [GO:0042805]; ATPase binding [GO:0051117]; calcium channel activity [GO:0005262]; clathrin binding [GO:0030276]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]; manganese ion transport [GO:0006828]; negative regulation of dendrite morphogenesis [GO:0050774]; neuron differentiation [GO:0030182]; positive regulation of axon extension [GO:0045773]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of membrane hyperpolarization [GO:1902630]	GO:0003779; GO:0005262; GO:0005737; GO:0005887; GO:0006828; GO:0007204; GO:0008284; GO:0010800; GO:0015279; GO:0030182; GO:0030276; GO:0030425; GO:0030426; GO:0034704; GO:0042805; GO:0043025; GO:0045121; GO:0045773; GO:0050774; GO:0051117; GO:0051480; GO:0070679; GO:1902630
g16133.t1	27.23633129	1.595574896	0.442482518	3.605961437	0.000310999	0.043542565	3	4	32	9	40	55	8	25	37	23	66	29	90	12	sp	Q9QX29	TRPC5_MOUSE	34.025	241	148	4	1	723	230	459	4.54e-26	118	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRPC5_MOUSE	reviewed	Short transient receptor potential channel 5 (TrpC5) (Capacitative calcium entry channel 2) (CCE2) (Transient receptor protein 5) (TRP-5) (mTRP5) (Trp-related protein 5)	Trpc5 Trp5 Trrp5	Mus musculus (Mouse)	975	manganese ion transport [GO:0006828]; negative regulation of dendrite morphogenesis [GO:0050774]; neuron differentiation [GO:0030182]; positive regulation of axon extension [GO:0045773]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of membrane hyperpolarization [GO:1902630]	calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]	actin binding [GO:0003779]; actinin binding [GO:0042805]; ATPase binding [GO:0051117]; calcium channel activity [GO:0005262]; clathrin binding [GO:0030276]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]	calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; dendrite [GO:0030425]; growth cone [GO:0030426]; integral component of plasma membrane [GO:0005887]; membrane raft [GO:0045121]; neuronal cell body [GO:0043025]; actin binding [GO:0003779]; actinin binding [GO:0042805]; ATPase binding [GO:0051117]; calcium channel activity [GO:0005262]; clathrin binding [GO:0030276]; inositol 1,4,5 trisphosphate binding [GO:0070679]; store-operated calcium channel activity [GO:0015279]; manganese ion transport [GO:0006828]; negative regulation of dendrite morphogenesis [GO:0050774]; neuron differentiation [GO:0030182]; positive regulation of axon extension [GO:0045773]; positive regulation of cell proliferation [GO:0008284]; positive regulation of cytosolic calcium ion concentration [GO:0007204]; positive regulation of peptidyl-threonine phosphorylation [GO:0010800]; regulation of cytosolic calcium ion concentration [GO:0051480]; regulation of membrane hyperpolarization [GO:1902630]	GO:0003779; GO:0005262; GO:0005737; GO:0005887; GO:0006828; GO:0007204; GO:0008284; GO:0010800; GO:0015279; GO:0030182; GO:0030276; GO:0030425; GO:0030426; GO:0034704; GO:0042805; GO:0043025; GO:0045121; GO:0045773; GO:0050774; GO:0051117; GO:0051480; GO:0070679; GO:1902630
g22445.t1	397.5598048	-0.797601034	0.186547312	-4.275596492	1.91e-05	0.006828375	338	263	320	593	245	264	235	628	712	696	465	162	586	340	sp	A2RT67	DEND3_MOUSE	31.226	1313	744	38	331	3966	11	1265	4.46e-177	566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7540.t1	26.69733504	3.412911731	0.774858438	4.404561611	1.06e-05	0.004791363	2	1	13	7	179	31	1	10	15	0	26	80	38	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23100.t1	230.7032805	-1.753355304	0.453345618	-3.867590722	0.000109916	0.022199512	256	33	44	424	119	80	301	578	330	307	135	138	186	246	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7857.t1	3092.570548	-2.391476243	0.6091329	-3.92603362	8.64e-05	0.018916187	1495	422	3881	8298	38	142	566	17336	6327	5642	1952	48	6212	56	sp	P42577	FRIS_LYMST	46.341	164	52	1	28	411	7	170	1.02e-46	152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g6502.t1	449.8333652	5.434152531	1.221905495	4.447277268	8.7e-06	0.004233439	8	5	15	4	5002	155	1	0	0	0	192	807	2	210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23670.t1	54.55177087	4.79753254	1.131680847	4.239298168	2.24e-05	0.007739656	1	0	4	0	607	22	1	4	2	0	58	72	1	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5197.t1	27.17620729	-2.543415637	0.676642061	-3.758879006	0.000170676	0.029727435	13	7	19	12	3	1	19	131	58	119	17	5	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g3840.t1	11.6200458	3.114624219	0.766122937	4.065436588	4.79e-05	0.012819589	4	4	3	3	44	18	4	2	1	0	43	39	3	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g18244.t1	103.948849	-1.929527609	0.508526138	-3.794352863	0.000148029	0.028387184	87	141	4	7	59	103	260	35	27	64	10	110	8	186	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21563.t1	45.51003855	4.47601968	1.116683378	4.008315846	6.12e-05	0.014404162	0	1	2	0	516	24	0	0	2	3	22	68	5	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12333.t1	36.5998169	4.984819021	1.164600515	4.280282341	1.87e-05	0.006814752	1	0	8	0	417	9	7	1	0	0	15	58	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23718.t1	78.59170285	5.480957976	1.339112441	4.09297816	4.26e-05	0.012156624	1	1	3	3	963	2	0	0	0	0	0	151	2	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	34.068	1180	696	31	124	3591	194	1315	1.04e-166	577	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	34.267	464	274	16	961	2328	910	1350	1.16e-55	220	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	26.069	725	437	26	2638	4686	193	860	9.39e-42	174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	28.535	396	256	10	106	1275	542	916	1.33e-37	160	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g22624.t1	25.33165498	3.529873753	0.931018574	3.791410665	0.000149794	0.028438397	5	1	6	10	180	2	0	7	5	1	54	99	5	3	sp	Q2PC93	SSPO_CHICK	28.841	371	240	11	124	1224	1000	1350	2.53e-35	152	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g5031.t2	57.31792724	-1.222066385	0.32475345	-3.763058975	0.000167848	0.029727435	77	51	32	77	24	20	55	109	47	114	68	30	66	37	sp	Q0VC16	TGO1_BOVIN	28.962	549	332	11	196	1722	1157	1687	3.34e-44	174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g11894.t2	14.950903	-7.084710346	1.767987693	-4.007217005	6.14e-05	0.014404162	0	16	0	22	0	0	0	0	17	150	0	0	0	16	sp	Q8BXR5	NALCN_MOUSE	51.817	1789	727	27	13	5148	3	1733	0	1676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NALCN_MOUSE	reviewed	Sodium leak channel non-selective protein (Voltage gated channel-like protein 1)	Nalcn Vgcnl1	Mus musculus (Mouse)	1738	calcium ion transmembrane transport [GO:0070588]; membrane depolarization during action potential [GO:0086010]; potassium ion transmembrane transport [GO:0071805]; regulation of resting membrane potential [GO:0060075]; sodium ion transmembrane transport [GO:0035725]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	cation channel activity [GO:0005261]; leak channel activity [GO:0022840]; sodium channel activity [GO:0005272]; voltage-gated ion channel activity [GO:0005244]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cation channel activity [GO:0005261]; leak channel activity [GO:0022840]; sodium channel activity [GO:0005272]; voltage-gated ion channel activity [GO:0005244]; calcium ion transmembrane transport [GO:0070588]; membrane depolarization during action potential [GO:0086010]; potassium ion transmembrane transport [GO:0071805]; regulation of resting membrane potential [GO:0060075]; sodium ion transmembrane transport [GO:0035725]	GO:0005244; GO:0005261; GO:0005272; GO:0005886; GO:0016021; GO:0022840; GO:0035725; GO:0060075; GO:0070588; GO:0071805; GO:0086010
g11890.t1	464.2194914	2.658682413	0.726385087	3.660155559	0.000252062	0.038651282	35	14	8	10	2218	1325	47	7	21	10	101	2318	22	416	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g10608.t1	639.1143568	6.201530486	1.143266303	5.424397157	5.82e-08	0.000220797	5	8	14	28	7235	17	2	2	9	0	176	1712	12	8	sp	Q8WPD0	LECG_PATPE	37.838	148	85	4	460	897	26	168	2.05e-26	105	NA	NA	NA	NA	NA	NA	NA	NA	NA	LECG_PATPE	reviewed	Alpha-N-acetylgalactosamine-specific lectin (Alpha-N-acetylgalactosamine-binding lectin) (GalNAc-specific lectin) (Lectin) (ApL) (Tn antigen-specific lectin)		Patiria pectinifera (Starfish) (Asterina pectinifera)	168			carbohydrate binding [GO:0030246]	carbohydrate binding [GO:0030246]	GO:0030246
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	42.92	226	121	3	397	1062	701	922	3.59e-46	172	NA	NA	NA	NA	NA	NA	NA	NA	NA	DMBT1_RABIT	reviewed	Deleted in malignant brain tumors 1 protein (Hensin)	Dmbt1	Oryctolagus cuniculus (Rabbit)	1594	cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]	scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]; scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]; cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	GO:0005044; GO:0005576; GO:0007275; GO:0015031; GO:0019898; GO:0030154; GO:0035375; GO:0042589; GO:0050829; GO:0050830
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.975	237	119	2	442	1071	192	427	3.46e-39	152	NA	NA	NA	NA	NA	NA	NA	NA	NA	DMBT1_RABIT	reviewed	Deleted in malignant brain tumors 1 protein (Hensin)	Dmbt1	Oryctolagus cuniculus (Rabbit)	1594	cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]	scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]; scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]; cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	GO:0005044; GO:0005576; GO:0007275; GO:0015031; GO:0019898; GO:0030154; GO:0035375; GO:0042589; GO:0050829; GO:0050830
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.19	242	116	2	442	1062	53	293	9.97e-38	147	NA	NA	NA	NA	NA	NA	NA	NA	NA	DMBT1_RABIT	reviewed	Deleted in malignant brain tumors 1 protein (Hensin)	Dmbt1	Oryctolagus cuniculus (Rabbit)	1594	cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]	scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]; scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]; cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	GO:0005044; GO:0005576; GO:0007275; GO:0015031; GO:0019898; GO:0030154; GO:0035375; GO:0042589; GO:0050829; GO:0050830
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	36.709	237	119	3	442	1071	323	555	7.63e-35	139	NA	NA	NA	NA	NA	NA	NA	NA	NA	DMBT1_RABIT	reviewed	Deleted in malignant brain tumors 1 protein (Hensin)	Dmbt1	Oryctolagus cuniculus (Rabbit)	1594	cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]	scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]; scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]; cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	GO:0005044; GO:0005576; GO:0007275; GO:0015031; GO:0019898; GO:0030154; GO:0035375; GO:0042589; GO:0050829; GO:0050830
g21236.t1	191.6518879	6.704133146	1.345162302	4.983884203	6.23e-07	0.000788768	4	4	1	2	2253	3	0	0	0	0	68	416	0	7	sp	Q95218	DMBT1_RABIT	37.069	232	115	3	442	1056	454	681	6.11e-34	136	NA	NA	NA	NA	NA	NA	NA	NA	NA	DMBT1_RABIT	reviewed	Deleted in malignant brain tumors 1 protein (Hensin)	Dmbt1	Oryctolagus cuniculus (Rabbit)	1594	cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]	scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]	extracellular region [GO:0005576]; extrinsic component of membrane [GO:0019898]; zymogen granule membrane [GO:0042589]; scavenger receptor activity [GO:0005044]; zymogen binding [GO:0035375]; cell differentiation [GO:0030154]; defense response to Gram-negative bacterium [GO:0050829]; defense response to Gram-positive bacterium [GO:0050830]; multicellular organism development [GO:0007275]; protein transport [GO:0015031]	GO:0005044; GO:0005576; GO:0007275; GO:0015031; GO:0019898; GO:0030154; GO:0035375; GO:0042589; GO:0050829; GO:0050830
g7620.t1	89778.51905	-0.756518164	0.126832575	-5.964699252	2.45e-09	4.65e-05	122480	81989	66913	104441	72482	77426	64505	129731	86465	96111	59090	79234	84437	113873	sp	P42577	FRIS_LYMST	67.262	168	55	0	1	504	3	170	6.23e-82	243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g18136.t1	32.77751958	3.245518069	0.854002853	3.800359751	0.000144486	0.028073482	1	1	4	0	134	159	1	1	6	0	7	126	12	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15917.t1	9.42642548	3.480289113	0.963092689	3.613659571	0.000301905	0.043095294	1	0	5	0	5	23	3	2	2	0	4	88	7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g17338.t1	71.6755078	3.042622184	0.772941713	3.936418662	8.27e-05	0.01847277	8	1	26	21	180	145	13	40	50	12	68	385	177	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g7003.t1	36.67497126	-4.031900331	1.014063331	-3.97598474	7.01e-05	0.016227225	86	8	2	4	3	20	53	2	78	202	2	1	1	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23104.t1	508.1086849	-2.130562676	0.443234165	-4.806855704	1.53e-06	0.001386109	390	142	65	958	112	189	672	1663	694	764	295	187	436	531	sp	Q29116	TENA_PIG	30.396	556	293	28	67	1611	185	687	4.62e-27	125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g21610.t1	9192.92764	-0.869527359	0.229909914	-3.782035074	0.000155551	0.02923905	14040	9398	6626	9493	4287	7440	8213	12363	8631	8785	8260	5827	9948	11467	sp	Q8MPM1	GELS2_LUMTE	49.866	373	165	5	1	1083	1	363	2.44e-127	373	NA	NA	NA	NA	NA	NA	NA	NA	NA	GELS2_LUMTE	reviewed	Gelsolin-like protein 2 (Actin-modulator) (EWAM-P2)	gelsolin	Lumbricus terrestris (Common earthworm)	366	actin filament capping [GO:0051693]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]	actin filament binding [GO:0051015]	cytoplasm [GO:0005737]; cytoskeleton [GO:0005856]; actin filament binding [GO:0051015]; actin filament capping [GO:0051693]	GO:0005737; GO:0005856; GO:0051015; GO:0051693
g1748.t1	221.2801509	-1.619562231	0.399291391	-4.056091032	4.99e-05	0.01297763	296	156	90	249	65	216	218	101	240	465	78	115	122	450	sp	Q06806	TIE1_MOUSE	46.333	300	148	4	2776	3648	832	1127	4.9e-77	281	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g1748.t1	221.2801509	-1.619562231	0.399291391	-4.056091032	4.99e-05	0.01297763	296	156	90	249	65	216	218	101	240	465	78	115	122	450	sp	Q06806	TIE1_MOUSE	31.387	274	153	12	316	1107	96	344	1.5e-31	138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g13571.t1	37.00907221	4.539579388	1.121076468	4.049303967	5.14e-05	0.01317923	3	1	1	3	390	3	7	0	1	0	68	46	1	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g15734.t1	23.61772224	7.488964736	1.389365073	5.390206565	7.04e-08	0.000222684	0	0	2	0	282	2	0	0	0	0	32	18	9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g23378.t1	87.16541719	7.859224263	1.38199359	5.686874614	1.29e-08	9.85e-05	1	4	2	0	904	3	0	0	0	0	122	233	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
g12669.t1	10.67842796	1.821254354	0.511143752	3.563096187	0.000366506	0.048320294	6	8	14	3	29	15	1	2	8	0	17	25	21	10	sp	Q29RT6	KI20A_BOVIN	39.658	643	315	14	76	1950	24	611	4.91e-135	427	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
